2026-03-20 07:48:56,340 INFO    MainThread:2421334 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2026-03-20 07:48:56,341 INFO    MainThread:2421334 [wandb_setup.py:_flush():68] Configure stats pid to 2421334
2026-03-20 07:48:56,341 INFO    MainThread:2421334 [wandb_setup.py:_flush():68] Loading settings from /mnt/shared/gpfs/home/manvij2/.config/wandb/settings
2026-03-20 07:48:56,341 INFO    MainThread:2421334 [wandb_setup.py:_flush():68] Loading settings from /mnt/shared/gpfs/home/manvij2/journal_phase/CODEBASE/wandb/settings
2026-03-20 07:48:56,341 INFO    MainThread:2421334 [wandb_setup.py:_flush():68] Loading settings from environment variables
2026-03-20 07:48:56,341 INFO    MainThread:2421334 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /mnt/shared/gpfs/home/manvij2/journal_phase/CODEBASE/wandb/run-20260320_074856-sh7wtds5/logs/debug.log
2026-03-20 07:48:56,341 INFO    MainThread:2421334 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /mnt/shared/gpfs/home/manvij2/journal_phase/CODEBASE/wandb/run-20260320_074856-sh7wtds5/logs/debug-internal.log
2026-03-20 07:48:56,341 INFO    MainThread:2421334 [wandb_init.py:init():852] calling init triggers
2026-03-20 07:48:56,342 INFO    MainThread:2421334 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'temperature': 0.75, 'checkpoint': '/mnt/shared/gpfs/home/manvij2/journal_phase/checkpoints/run_CHK/final_model_new.pt', 'start_epoch': 0, 'wandb_project': 'dafny-rl_full', 'wandb_entity': 'drprofmjha-university-of-illinois-urbana-champaign', 'max_workers': 1, '_wandb': {}}
2026-03-20 07:48:56,342 INFO    MainThread:2421334 [wandb_init.py:init():893] starting backend
2026-03-20 07:48:56,342 INFO    MainThread:2421334 [wandb_init.py:init():897] sending inform_init request
2026-03-20 07:48:56,353 INFO    MainThread:2421334 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-03-20 07:48:56,353 INFO    MainThread:2421334 [wandb_init.py:init():907] backend started and connected
2026-03-20 07:48:56,356 INFO    MainThread:2421334 [wandb_init.py:init():1002] updated telemetry
2026-03-20 07:48:56,357 INFO    MainThread:2421334 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2026-03-20 07:48:57,177 INFO    MainThread:2421334 [wandb_init.py:init():1101] starting run threads in backend
2026-03-20 07:48:58,192 INFO    MainThread:2421334 [wandb_run.py:_console_start():2566] atexit reg
2026-03-20 07:48:58,193 INFO    MainThread:2421334 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2026-03-20 07:48:58,193 INFO    MainThread:2421334 [wandb_run.py:_redirect():2483] Wrapping output streams.
2026-03-20 07:48:58,193 INFO    MainThread:2421334 [wandb_run.py:_redirect():2506] Redirects installed.
2026-03-20 07:48:58,206 INFO    MainThread:2421334 [wandb_init.py:init():1147] run started, returning control to user process
