model,task,input_dfy,return_code,category,explanation,module_exists,module_path,log_path,error_signature,error_lines
deepseek-chat,Dafny_107,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_107.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/deepseek-chat/Dafny_107.log,NO_ERROR_TEXT_FOUND,
deepseek-chat,Dafny_156_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_156_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/deepseek-chat/Dafny_156_firstverified.log,NO_ERROR_TEXT_FOUND,
deepseek-chat,Dafny_512,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_512.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/deepseek-chat/Dafny_512.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_122,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_122.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_122.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_162_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_162_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_162_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_176,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_176.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_176.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_193_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_193_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_193_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_206_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_206_firstverified.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_206_firstverified.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_207,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_207.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_207.log,NO_ERROR_TEXT_FOUND,
gpt-5.1-codex-max,Dafny_216,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/gpt-5.1-codex-max/Dafny_216.dfy,3,generic_compilation_error,Dafny returned compilation error code 3. Inspect the extracted error message for the precise construct.,False,,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/logs/dafny_to_python/gpt-5.1-codex-max/Dafny_216.log,NO_ERROR_TEXT_FOUND,
