model,task,return_code,status,first_verified,input_dfy,raw_task_directory,implementation_file_count,implementation_files,launcher_files,output_directory,copied_files
deepseek-chat,Dafny_104_firstverified,0,SUCCESS,True,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_104_firstverified.dfy,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_104_firstverified-py,1,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_104_firstverified-py/module_.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_104_firstverified-py/__main__.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_104_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_104_firstverified/module_.py;/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_104_firstverified/__main__.py
deepseek-chat,Dafny_107,3,TRUE_TRANSLATION_FAILURE,False,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_107.dfy,,0,,,,
deepseek-chat,Dafny_120,0,SUCCESS,False,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_120.dfy,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_120-py,1,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_120-py/module_.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_120-py/__main__.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_120,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_120/module_.py;/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_120/__main__.py
deepseek-chat,Dafny_122_firstverified,0,SUCCESS,True,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_122_firstverified.dfy,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_122_firstverified-py,1,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_122_firstverified-py/module_.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_122_firstverified-py/__main__.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_122_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_122_firstverified/module_.py;/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_122_firstverified/__main__.py
deepseek-chat,Dafny_130_firstverified,0,SUCCESS,True,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_130_firstverified.dfy,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_130_firstverified-py,1,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_130_firstverified-py/module_.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_130_firstverified-py/__main__.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_130_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_130_firstverified/module_.py;/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_130_firstverified/__main__.py
deepseek-chat,Dafny_143_firstverified,0,SUCCESS,True,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_143_firstverified.dfy,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_143_firstverified-py,1,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_143_firstverified-py/module_.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_143_firstverified-py/__main__.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_143_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_143_firstverified/module_.py;/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_143_firstverified/__main__.py
deepseek-chat,Dafny_156_firstverified,3,TRUE_TRANSLATION_FAILURE,True,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_156_firstverified.dfy,,0,,,,
deepseek-chat,Dafny_162_firstverified,0,SUCCESS,True,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_162_firstverified.dfy,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_162_firstverified-py,1,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_162_firstverified-py/module_.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_162_firstverified-py/__main__.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_162_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_162_firstverified/module_.py;/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_162_firstverified/__main__.py
deepseek-chat,Dafny_174_firstverified,0,SUCCESS,True,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_174_firstverified.dfy,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_174_firstverified-py,1,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_174_firstverified-py/module_.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_174_firstverified-py/__main__.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_174_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_174_firstverified/module_.py;/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_174_firstverified/__main__.py
deepseek-chat,Dafny_176_firstverified,0,SUCCESS,True,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/dafny_outputs/deepseek-chat/Dafny_176_firstverified.dfy,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_176_firstverified-py,1,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_176_firstverified-py/module_.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python_raw/deepseek-chat/Dafny_176_firstverified-py/__main__.py,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_176_firstverified,/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_176_firstverified/module_.py;/u/mjha1/Proof2Silicon/journal_phase/dafny_to_rtl_pipeline/generated_python/deepseek-chat/Dafny_176_firstverified/__main__.py
